ID;VEGAN;BUCKET;CO2PERKG;ACTIVITY;DESCRIPTION;IMAGE
463B7A71-47CE-2C60-9CC1-4DC0F12B1F12;false;L;1.0;cheese;portions of 50 g cheese eaten;equivalency-cheese-3327664911.png
D390ABC9-3F88-96C9-7BE2-34A8D179A4C0;true;L;1.0;LED light bulb;LED light bulbs bought;equivalency-LED-light-bulb-4167987757.png
02277DBE-873F-2F59-274B-3C540C7249AF;false;L;1.1;fish;portions of 100 g sea fish eaten;equivalency-fish-2405542742.png
85C25E30-3585-6668-8990-37B0328B0251;false;L;1.2;pork meat;portions of 100 g pork eaten;equivalency-pork-meat-3685728880.png
0B7B7EE0-08C6-30B2-3C82-FA46F1D73EF3;false;L;2.7;beef meat;portions of 100 g beef eaten;equivalency-beef-meat-321469530.png
E0601B8D-55A1-4373-7E75-C931B3B076C2;true;L;3.0;reusable bottle;reusable bottles bought;equivalency-reusable-bottle-258431560.png
99D4DD3F-3724-26F9-6269-1C618620673C;true;L;4.0;t-shirt;cotton t-shirts bought;equivalency-t-shirt-1487824954.png
8248785A-8F7C-86A2-681D-9079DB454624;true;XL;7.0;electric kettle;electric kettles bought;equivalency-electric-kettle-980264395.png
4E0E90A1-1545-9660-3C85-AD38C210388C;true;XL;8.0;pair of jeans;pair of jeans bought;equivalency-pair-of-jeans-4195463697.png
DA619F25-45A2-124B-7C41-FFFB03F66980;true;XL;12.0;pair of sneakers;pair of sneakers bought;equivalency-pair-of-sneakers-923023531.png
79D79247-5877-4F71-47ED-31AE72D77BBE;true;XL;20.0;backpack;backpacks bought;equivalency-backpack-1213490252.png
D94ADD97-2927-99A3-A20C-810A8BC9376B;true;XL;70.0;smartphone;smartphones bought;equivalency-smartphone-3933869720.png
6F023456-8662-5EE4-467E-6EC092A9A671;true;XL;200.0;laptop computer;laptop computers bought;equivalency-laptop-computer-867630199.png
3ACC40B9-4098-8D33-1E17-102AAE646524;true;XL;225.0;bicycle;bicycles bought;equivalency-bicycle-2885367955.png
